code,category,number,title,units,desc
ISEN 210-0,ISEN,210-0,Introduction to Sustainability: Challenges and Solutions,1,"Introduction to using lifecycle systems perspectives in forming evaluations and basic quantitative understandings of the challenges and potential solutions that exist for sustainable societies; framing these in the context of resource use, energy consumption and development, and environmental constraints. REQUIRED COURSE FOR ISEN CERTIFICATE. Social Behavioral Sciences Distro Area"
ISEN 220-0,ISEN,220-0,Introduction to Energy Systems for the 21st Century,1,"Overview of energy issues in the context of global sustainability: energy demands for industrial, transportation, housing, and commercial uses, strategies for demand reduction, traditional versus renewable energy systems. REQUIRED COURSE FOR ISEN CERTIFICATE. Natural Sciences Distro Area"
ISEN 230-0,ISEN,230-0,Climate Change and Sustainability: Ethical Dimensions,1,"Interdisciplinary analysis of ethical issues concerning climate change; resource use, conservation practices, and sustainability. ISEN 230-0 is taught with PHIL 275-0; students may not earn credit for both courses. REQUIRED COURSE FOR ISEN CERTIFICATE. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
ISEN 375-0,ISEN,375-0,Issues in Environmental Philosophy,1,"Interdisciplinary analysis of a contemporary issue, individual philosopher, or school of thought in environmental philosophy. PHIL 375-0 taught also as ISEN 375-0. Advanced Expression Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Global Perspectives on Power, Justice, and Equity"
ISEN 390-0,ISEN,390-0,Special Topics in Energy and Sustainability,1,"Focused exploration of specific topical themes, trends, and challenges in applied energy and sustainability. Content varies each year; previously offered topics include geographic information systems and the impact of energy systems on the geographic distribution, wellbeing, and social organization of societies. May be repeated for credit with change in topic; some topics may be cross-listed with other departments."
ISEN 399-0,ISEN,399-0,Independent Study,1,Independent study under direction of faculty member. Consent of department required.
