code,category,number,title,units,desc
SHC 101-7,SHC,101-7,College Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and introducing skills necessary to thriving at Northwestern. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SHC 101-8,SHC,101-8,First-Year Writing Seminar,1,"Small, writing and discussion-oriented course exploring a specific topic or theme, and focused on the fundamentals of effective, college-level written communication. Not eligible to be applied towards a WCAS major or minor except where specifically indicated."
SHC 398-1,SHC,398-1,Science in Human Culture Senior Seminar,1,For students who wish to qualify for honors by writing a senior thesis.
SHC 398-2,SHC,398-2,Science in Human Culture Senior Seminar,1,For students who wish to qualify for honors by writing a senior thesis.
SHC 398-3,SHC,398-3,Science in Human Culture Senior Seminar,1,For students who wish to qualify for honors by writing a senior thesis.
