code,category,number,title,units,desc
ENVR_SCI 201-0,ENVR_SCI,201-0,Earth: A Habitable Planet,1,"Overview of the physical processes governing environmental systems, from lithosphere to hydrosphere to atmosphere. Physical science perspectives on current debates, such as those over water resources, energy, and climate change. Natural Sciences Distro Area"
ENVR_SCI 202-0,ENVR_SCI,202-0,The Health of the Biosphere,1,"Dimensions of the ecological niche; growth and regulation of populations; interactions among populations; community structure and diversity; conservation. 
Prerequisite: CHEM 152-0 or equivalent.
 Natural Sciences Distro Area"
ENVR_SCI 203-0,ENVR_SCI,203-0,Humans and the Environment,1,"Introduction to human interactions with the environment. Topics may include but are not limited to energy, sustainability, pollution, and climate change. Natural Sciences Distro Area"
ENVR_SCI 390-0,ENVR_SCI,390-0,Special Topics in Environmental Sciences,1,Lecture course on environmental science topics of interest to students and faculty. May be repeated for credit with different topic.
ENVR_SCI 399-0,ENVR_SCI,399-0,Independent Study,1,"Independent research on special problems under direct supervision of a faculty adviser. Comprehensive report required. 
Prerequisite: consent of program director."
