code,category,number,title,units,desc
TRANS 310-0,TRANS,310-0,Seminar in Transportation and Logistics,1,Yearlong senior seminar on the structure of the transportation and supply-chain industries and evaluation of relevant public policy. Students receive 1 credit in the spring quarter of their senior year. Advanced Expression
TRANS 399-0,TRANS,399-0,Independent Study,1,Advanced work chosen by mutual agreement with a faculty member. Only 1 unit may count toward the minor. Consent of faculty required.
