code,category,number,title,units,desc
MMSS 211-1,MMSS,211-1,Social Science Theories & Meth-First Yr,1,"A fast-paced mathematical treatment of intermediate microeconomics designed for mathematically sophisticated students. No previous training in microeconomics is assumed. Topics covered include consumer and producer behavior in market economies, equilibrium in competitive and monopolistic markets, public goods and externalities, and welfare analysis. Social Behavioral Sciences Distro Area"
MMSS 211-2,MMSS,211-2,Social Science Theories & Meth-First Yr,1,Game theory.
MMSS 211-3,MMSS,211-3,Social Science Theories & Meth-First Yr,1,Formal models in social science disciplines other than economics. Social Behavioral Sciences Distro Area
MMSS 300-0,MMSS,300-0,Foundations of Mathematical Social Science,1,"Introduction to the core mathematical elements of formal Social Science, including Individual Decision Making, Choice Under Uncertainty, Social Choice and Welfare, Efficiency Concepts, and Dynamic Decision-Making."
MMSS 311-1,MMSS,311-1,Social Science Theories & Meth-2nd Yr,1,Advanced game theory.
MMSS 311-2,MMSS,311-2,Social Science Theories & Meth-2nd Yr,1,Advanced formal models in social science disciplines other than economics.
MMSS 398-1,MMSS,398-1,Senior Seminar,1,Senior thesis seminar. Advanced Expression
MMSS 398-2,MMSS,398-2,Senior Seminar,1,Senior thesis seminar. Advanced Expression
MMSS 398-3,MMSS,398-3,Senior Seminar,1,Senior thesis seminar. Advanced Expression
