code,category,number,title,units,desc
GREEK 115-1,GREEK,115-1,Accelerated Elementary Ancient and Biblical Greek,1,"This is the first in an accelerated two-quarter series designed to teach students to read ancient Greek texts, from the biblical New Testament to Homeric poetry and Platonic philosophy. These two quarters will teach all the fundamentals of grammar and vocabulary and lead students directly into a course dedicated to reading the Greek New Testament, and classical Greek texts thereafter. Usually taught in the Winter."
GREEK 115-2,GREEK,115-2,Accelerated Elementary Ancient and Biblical Greek,1,"This is the second in an accelerated two-quarter series designed to teach students to read ancient Greek texts, from the biblical New Testament to Homeric poetry and Platonic philosophy. These two quarters will teach all the fundamentals of grammar and vocabulary and lead students directly into a course dedicated to reading the Greek New Testament, and classical Greek texts thereafter. Usually taught in the Spring. 
Prerequisite: GREEK 115-1 or departmental placement."
GREEK 201-1,GREEK,201-1,Introduction to Greek Literature,1,"Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts. 
Prerequisite: GREEK 115-2, or departmental placement."
GREEK 201-2,GREEK,201-2,Introduction to Greek Literature,1,"Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts. 
Prerequisite: GREEK 201-1, or departmental placement."
GREEK 201-3,GREEK,201-3,Introduction to Greek Literature,1,"Review of basic grammar and vocabulary. Representative selections from Greek authors in their historical and cultural contexts. 
Prerequisite: GREEK 201-2, or departmental placement."
GREEK 301-0,GREEK,301-0,Readings in Greek Literature,1,"GREEK 301-0 Readings in Greek Literature (1 Unit) 
Prerequisite: GREEK 201-3 or consent of instructor. May be repeated for credit with different topics.
Advanced Expression Literature Fine Arts Distro Area Literature and Arts Foundational Discipline"
GREEK 399-0,GREEK,399-0,Independent Study,1,Individual program of study under the direction of a faculty member. For advanced students only. Permission of department required.
