code,category,number,title,units,desc
RELIGION 378-0,RELIGION,378-0,Death: Myth and Meaning,1,"Ideas, beliefs, and practices pertaining to death from a variety of ancient and modern cultures. Immortality, afterlife, care for the dying, suicide, funerary rituals, transhumanism. Ethics Values Distro Area"
RELIGION 379-0,RELIGION,379-0,Topics in Comparative Religion,1,Content varies. May be repeated for credit with change of topic. Ethics Values Distro Area
RELIGION 381-0,RELIGION,381-0,Global Catholicism in the Contemporary World,1,Historical and contemporary global Catholicism. Topics include the church and political modernity; local saints; controversies over worship styles; Catholics and political revolutions; the Vatican; the pontificate of John Paul II. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules
RELIGION 382-0,RELIGION,382-0,"Religion, Law, & Politics: Politics of Religious Diversity",1,"This course teaches students to think critically, comparatively, and globally about the intersections of religion, law, and politics. It considers how religious, legal, and political traditions intersect and interact in modern states and societies. The course is organized around a set of legal cases and supporting materials in the Teaching Law and Religion Case Study Archive. RELIGION 382-0 taught with POLI_SCI 382-0; may not receive credit for both. Ethical and Evaluative Thinking Foundational Disci Ethics Values Distro Area Social and Behavioral Science Foundational Discipl U.S. Perspectives on Power, Justice, and Equity"
RELIGION 385-0,RELIGION,385-0,Topics in United States Catholicism,1,Historical and contemporary subjects in the study of Catholic culture in the United States. May be taken multiple times with different content. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules
RELIGION 386-0,RELIGION,386-0,Topics in Latin America Catholicism,1,Historical and contemporary subjects in the study of Catholic culture in Latin America. May be taken multiple times with different content. Ethics Values Distro Area Historical Studies Distro Area Interdisciplinary Distro - See Rules
RELIGION 395-0,RELIGION,395-0,Theories of Religion,1,"Ways of critically analyzing religious experience and its meaning. Phenomenology of religion, history of religions, comparative religions. For Religious Studies majors/minors and for others by permission. Ethics Values Distro Area"
RELIGION 396-1,RELIGION,396-1,Senior Seminar,1,For honors students writing the senior thesis.
RELIGION 396-2,RELIGION,396-2,Senior Seminar,1,For honors students writing the senior thesis.
RELIGION 399-0,RELIGION,399-0,Independent Study,1,Reading and conferences on special subjects for advanced students. Consent of instructor required.
