code,title,href,status
KOREAN,Korean,https://catalogs.northwestern.edu/undergraduate/courses-az/korean/,todo
LATIN,Latin,https://catalogs.northwestern.edu/undergraduate/courses-az/latin/,todo
LATIN_AM,Latin American & Caribbean Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/latin_am/,todo
LATINO,Latina and Latino Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/latino/,todo
LOC,Learning & Organizational Change,https://catalogs.northwestern.edu/undergraduate/courses-az/loc/,todo
LRN_SCI,Learning Sciences,https://catalogs.northwestern.edu/undergraduate/courses-az/lrn_sci/,todo
LEGAL_ST,Legal Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/legal_st/,todo
LING,Linguistics,https://catalogs.northwestern.edu/undergraduate/courses-az/ling/,todo
KELLG_MA,Managerial Analytics,https://catalogs.northwestern.edu/undergraduate/courses-az/kellg_ma/,todo
MAT_SCI,Materials Science & Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/mat_sci/,todo
MMSS,Math Methods in the Social Sciences,https://catalogs.northwestern.edu/undergraduate/courses-az/mmss/,todo
MATH,Mathematics,https://catalogs.northwestern.edu/undergraduate/courses-az/math/,todo
MECH_ENG,Mechanical Engineering,https://catalogs.northwestern.edu/undergraduate/courses-az/mech_eng/,todo
MENA,Middle East and North African Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/mena/,todo
MUSIC,Music,https://catalogs.northwestern.edu/undergraduate/courses-az/music/,todo
MUS_COMP,Music Composition,https://catalogs.northwestern.edu/undergraduate/courses-az/mus_comp/,todo
MUSIC_ED,Music Education,https://catalogs.northwestern.edu/undergraduate/courses-az/music_ed/,todo
MUS_TECH,Music Technology,https://catalogs.northwestern.edu/undergraduate/courses-az/mus_tech/,todo
MUS_THRY,Music Theory,https://catalogs.northwestern.edu/undergraduate/courses-az/mus_thry/,todo
MUSICOL,Musicology,https://catalogs.northwestern.edu/undergraduate/courses-az/musicol/,todo
NAV_SCI,Naval Science,https://catalogs.northwestern.edu/undergraduate/courses-az/nav_sci/,todo
NEUROSCI,Neuroscience,https://catalogs.northwestern.edu/undergraduate/courses-az/neurosci/,todo
NICO,Northwestern Institute for Complex Systems,https://catalogs.northwestern.edu/undergraduate/courses-az/nico/,todo
PERF_ST,Performance Studies,https://catalogs.northwestern.edu/undergraduate/courses-az/perf_st/,todo
PERSIAN,Persian,https://catalogs.northwestern.edu/undergraduate/courses-az/persian/,todo
PRDV,Personal Development,https://catalogs.northwestern.edu/undergraduate/courses-az/prdv/,todo
PHIL,Philosophy,https://catalogs.northwestern.edu/undergraduate/courses-az/phil/,todo
PHYSICS,Physics,https://catalogs.northwestern.edu/undergraduate/courses-az/physics/,todo
PIANO,Piano,https://catalogs.northwestern.edu/undergraduate/courses-az/piano/,todo
POLISH,Polish,https://catalogs.northwestern.edu/undergraduate/courses-az/polish/,todo
POLI_SCI,Political Science,https://catalogs.northwestern.edu/undergraduate/courses-az/poli_sci/,todo
PORT,Portuguese,https://catalogs.northwestern.edu/undergraduate/courses-az/port/,todo
PSYCH,Psychology,https://catalogs.northwestern.edu/undergraduate/courses-az/psych/,todo
RTVF,Radio/Television/Film,https://catalogs.northwestern.edu/undergraduate/courses-az/rtvf/,todo
RELIGION,Religion,https://catalogs.northwestern.edu/undergraduate/courses-az/religion/,todo
RUSSIAN,Russian,https://catalogs.northwestern.edu/undergraduate/courses-az/russian/,todo
SESP,School of Education & Social Policy Core,https://catalogs.northwestern.edu/undergraduate/courses-az/sesp/,todo
SHC,Science in Human Culture,https://catalogs.northwestern.edu/undergraduate/courses-az/shc/,todo
DSGN,Segal Design Institute,https://catalogs.northwestern.edu/undergraduate/courses-az/dsgn/,todo
SLAVIC,Slavic Languages & Literatures,https://catalogs.northwestern.edu/undergraduate/courses-az/slavic/,todo
SOC_POL,Social Policy,https://catalogs.northwestern.edu/undergraduate/courses-az/soc_pol/,todo
SOCIOL,Sociology,https://catalogs.northwestern.edu/undergraduate/courses-az/sociol/,todo
SPANISH,Spanish,https://catalogs.northwestern.edu/undergraduate/courses-az/spanish/,todo
STAT,Statistics,https://catalogs.northwestern.edu/undergraduate/courses-az/stat/,todo
STRINGS,String Instruments,https://catalogs.northwestern.edu/undergraduate/courses-az/strings/,todo
SWAHILI,Swahili,https://catalogs.northwestern.edu/undergraduate/courses-az/swahili/,todo
TEACH_ED,Teacher Education,https://catalogs.northwestern.edu/undergraduate/courses-az/teach_ed/,todo
THEATRE,Theatre,https://catalogs.northwestern.edu/undergraduate/courses-az/theatre/,todo
TRANS,Transportation,https://catalogs.northwestern.edu/undergraduate/courses-az/trans/,todo
TURKISH,Turkish,https://catalogs.northwestern.edu/undergraduate/courses-az/turkish/,todo
VOICE,Voice & Opera,https://catalogs.northwestern.edu/undergraduate/courses-az/voice/,todo
WIND_PER,Wind & Percussion,https://catalogs.northwestern.edu/undergraduate/courses-az/wind_per/,todo
